"Relative Time (Process)","StudyAbroadGPT-7B - system/gpu.0.memory","StudyAbroadGPT-7B - system/gpu.0.memory__MIN","StudyAbroadGPT-7B - system/gpu.0.memory__MAX"
"9335.411493905","6","6","6"
"9345.412135457","9","9","9"
"9355.411739228","11","11","11"
"9365.411520523","14","14","14"
"9375.412434257","10","10","10"
"9385.411740795","13","13","13"
"9395.413397261","10","10","10"
"9405.411853568","10","10","10"
"9415.416343248","11","11","11"
"9425.411692852","14","14","14"
"9435.412738042","11","11","11"
"9445.411544223","10","10","10"
"9455.412603446","10","10","10"
"9465.411458015","9","9","9"
"9475.413944247","11","11","11"
"9485.412220502","10","10","10"
"9495.411876868","11","11","11"
"9505.411735335","11","11","11"
"9515.413351091","11","11","11"
"9525.413980204","10","10","10"
"9535.411357884","13","13","13"
"9545.411828414","9","9","9"
"9555.415567845","10","10","10"
"9565.411942131","10","10","10"
"9575.411520012","10","10","10"
"9585.413928662","11","11","11"
"9595.41644865","11","11","11"
"9605.411824638","11","11","11"
"9615.411106633","11","11","11"
"9625.411227322","11","11","11"
"9635.414800986","10","10","10"
"9645.411925331","12","12","12"
"9655.411893869","10","10","10"
"9665.415911562","12","12","12"
"9675.415139869","10","10","10"
"9685.413179519","11","11","11"
"9695.411113059","11","11","11"
"9705.419333847","13","13","13"
"9715.414174309","10","10","10"
"9725.411747687","11","11","11"
"9735.411996849","9","9","9"
"9745.413598405","15","15","15"
"9755.411573072","10","10","10"
"9765.411014431","13","13","13"
"9775.411439138","10","10","10"
"9785.411877847","13","13","13"
"9795.411573961","7","7","7"
"9805.412863962","9","9","9"
"9815.412022469","10","10","10"
"9825.411475212","11","11","11"
"9835.41192085","11","11","11"
"9845.411710799","10","10","10"
"9855.411417228","10","10","10"
"9865.411919018","13","13","13"
"9875.411482605","9","9","9"
"9885.414977426","11","11","11"
"9895.412788114","15","15","15"
"9905.416602883","14","14","14"
"9915.411612635","10","10","10"
"9925.411038782","12","12","12"
"9935.416323601","9","9","9"
"9945.412322514","10","10","10"
"9955.411516272","9","9","9"
"9965.41188992","8","8","8"
"9975.411433873","11","11","11"
"9985.411440342","12","12","12"
"9995.411557189","11","11","11"
"10005.41497429","10","10","10"
"10015.413472695","9","9","9"
"10025.415502334","11","11","11"
"10035.411100009","10","10","10"
"10045.411791741","13","13","13"
"10055.412251889","11","11","11"
"10065.411713313","11","11","11"
"10075.411662917","10","10","10"
"10085.411802445","14","14","14"
"10095.411518025","9","9","9"
"10105.411019772","11","11","11"
"10115.412121134","11","11","11"
"10125.411660218","9","9","9"
"10135.411407263","12","12","12"
"10145.41764225","11","11","11"
"10155.416434492","11","11","11"
"10165.415733484","11","11","11"
"10175.41237326","14","14","14"
"10185.411201846","14","14","14"
"10195.412034","11","11","11"
"10205.411608996","14","14","14"
"10215.412889079","19","19","19"
"10225.414468489","10","10","10"
"10235.411350868","11","11","11"
"10245.411872358","10","10","10"
"10255.410888814","11","11","11"
"10265.411602472","10","10","10"
"10275.41429325","11","11","11"
"10285.411732181","9","9","9"
"10295.411158918","12","12","12"
"10305.411473582","10","10","10"
"10315.411353641","11","11","11"
"10325.411306633","11","11","11"
"10335.414227834","10","10","10"
"10345.412219529","10","10","10"
"10355.411589748","14","14","14"
"10365.411577788","10","10","10"
"10375.411048922","12","12","12"
"10385.410940941","10","10","10"
"10395.413496121","12","12","12"
"10405.412670575","10","10","10"
"10415.4118349","11","11","11"
"10425.411512607","10","10","10"
"10435.411977136","10","10","10"
"10445.411938515","11","11","11"
"10455.414731835","9","9","9"
"10465.411931301","12","12","12"
"10475.413109947","12","12","12"
"10485.411158019","11","11","11"
"10495.418882854","15","15","15"
"10505.41143518","10","10","10"
"10515.411007857","10","10","10"
"10525.412104487","10","10","10"
"10535.418389249","13","13","13"
"10545.412021829","10","10","10"
"10555.413159223","9","9","9"
"10565.411697707","15","15","15"
"10575.412230851","10","10","10"
"10585.411871941","10","10","10"
"10595.412833172","10","10","10"
"10605.411677812","14","14","14"
"10615.411744091","10","10","10"
"10625.410916154","13","13","13"
"10635.414267995","10","10","10"
"10645.411265685","14","14","14"
"10655.411359603","10","10","10"
"10665.411166761","12","12","12"
"10675.411731404","11","11","11"
"10685.41223705","14","14","14"
"10695.411625838","10","10","10"
"10705.412120439","10","10","10"
"10715.412341459","15","15","15"
"10725.411776606","13","13","13"
"10735.416916819","10","10","10"
"10745.411335014","10","10","10"
"10755.411686724","9","9","9"
"10765.413301716","11","11","11"
"10775.411569438","10","10","10"
"10785.411029332","13","13","13"
"10795.413426805","10","10","10"
"10805.410921191","11","11","11"
"10815.417175335","10","10","10"
"10825.414135193","11","11","11"
"10835.414944075","10","10","10"
"10845.412162128","11","11","11"
"10855.413933298","7","7","7"
"10865.4109623","7","7","7"
"10875.412397348","10","10","10"
"10885.412677909","11","11","11"
"10895.421042681","10","10","10"
"10905.411742305","10","10","10"
"10915.411797077","11","11","11"
"10925.41144593","10","10","10"
"10935.413415778","14","14","14"
"10945.411746102","9","9","9"
"10955.411949694","10","10","10"
"10965.411224206","11","11","11"
"10975.413087847","13","13","13"
"10985.410801581","8","8","8"
"10995.414729985","9","9","9"
"11005.411699617","11","11","11"
"11015.411012922","10","10","10"
"11025.411205973","13","13","13"
"11035.414558836","13","13","13"
"11045.413600007","12","12","12"
"11055.413049688","10","10","10"
"11065.412674818","14","14","14"
"11075.411084045","11","11","11"
"11085.410843959","13","13","13"
"11095.413044334","11","11","11"
"11105.41240184","14","14","14"
"11115.411901975","10","10","10"
"11125.411345163","10","10","10"
"11135.414510556","12","12","12"
"11145.411611429","11","11","11"
"11155.411140066","11","11","11"
"11165.41634564","11","11","11"
"11175.415983425","12","12","12"
"11185.411646053","8","8","8"
"11195.411436011","11","11","11"
"11205.411527159","10","10","10"
"11215.41156479","16","16","16"
"11225.411169588","10","10","10"
"11235.41064321","13","13","13"
"11245.411682144","11","11","11"
"11255.412230613","13","13","13"
"11265.41203481","13","13","13"
"11275.411246063","14","14","14"
"11285.412556145","14","14","14"
"11295.411892367","11","11","11"
"11305.411187851","9","9","9"
"11315.413968415","10","10","10"
"11325.410849662","10","10","10"
"11335.411278914","13","13","13"
"11345.411558051","10","10","10"
"11355.411353889","11","11","11"
"11365.411534218","8","8","8"
"11375.412252958","6","6","6"
"11385.413301833","7","7","7"
"11395.41241853","9","9","9"
"11405.411302055","9","9","9"
"11415.419275469","9","9","9"
"11425.411262523","14","14","14"
"11435.411646802","9","9","9"
"11445.411414863","11","11","11"
"11455.411597042","13","13","13"
"11465.411272806","10","10","10"
"11475.41175865","12","12","12"
"11485.412340491","14","14","14"
"11495.41750397","14","14","14"
"11505.412180197","10","10","10"
"11515.412408937","14","14","14"
"11525.411070445","10","10","10"
"11535.410871737","13","13","13"
"11545.413106512","11","11","11"
"11555.411597142","14","14","14"
"11565.411590392","10","10","10"
"11575.411504354","13","13","13"
"11585.416489106","10","10","10"
"11595.412025994","11","11","11"
"11605.412595358","10","10","10"
"11615.411677729","10","10","10"
"11625.41097465","11","11","11"
"11635.411443459","11","11","11"
"11645.410634247","11","11","11"
"11655.412638387","10","10","10"
"11665.41179934","11","11","11"
"11675.4118183","10","10","10"
"11685.411333374","12","12","12"
"11695.412166093","11","11","11"
"11705.411651329","14","14","14"
"11715.414618222","12","12","12"
"11725.411733376","12","12","12"
"11735.411420389","11","11","11"
"11745.412574193","9","9","9"
"11755.412325205","11","11","11"
"11765.412268177","11","11","11"
"11775.411222619","9","9","9"
"11785.411332948","10","10","10"
"11795.414849294","11","11","11"
"11805.412749306","13","13","13"
"11815.410985546","10","10","10"
"11825.410824394","13","13","13"
"11835.412277461","10","10","10"
"11845.411427993","12","12","12"
"11855.41244567","11","11","11"
"11865.412430048","12","12","12"
"11875.411640663","10","10","10"
"11885.412587152","13","13","13"
"11895.411188356","11","11","11"
"11905.411630995","10","10","10"
"11915.41366728","10","10","10"
"11925.411495113","10","10","10"
"11935.410658871","11","11","11"
"11945.412170248","11","11","11"
"11955.4170121","11","11","11"
"11965.411603741","10","10","10"
"11975.416717935","10","10","10"
"11985.415629573","10","10","10"
"11995.411719891","10","10","10"
"12005.410830456","12","12","12"
"12015.41598256","10","10","10"
"12025.414809515","10","10","10"
"12035.411194352","10","10","10"
"12045.411678725","11","11","11"
"12055.41170128","10","10","10"
"12065.410938775","13","13","13"
"12075.413659741","10","10","10"
"12085.411263359","11","11","11"
"12095.411788135","11","11","11"
"12105.41463963","10","10","10"
"12115.412228011","11","11","11"
"12125.411978399","9","9","9"
"12135.412438506","12","12","12"
"12145.411624558","10","10","10"
"12155.412788265","10","10","10"
"12165.411264308","10","10","10"
"12175.416789726","11","11","11"
"12185.412524708","10","10","10"
"12195.415173386","11","11","11"
"12205.411706571","9","9","9"
"12215.411422914","12","12","12"
"12225.411328874","10","10","10"
"12235.415335318","10","10","10"
"12245.411344528","10","10","10"
"12255.411789578","13","13","13"
"12265.411033273","13","13","13"
"12275.411137328","11","11","11"
"12285.41138343","14","14","14"
"12295.413727305","13","13","13"
"12305.411136438","10","10","10"
"12315.413542365","13","13","13"
"12325.413046811","15","15","15"
"12335.410938779","11","11","11"
"12345.411466449","10","10","10"
"12355.416674525","11","11","11"
"12365.412097766","9","9","9"
"12375.411881532","9","9","9"
"12385.411308335","10","10","10"
"12395.415215525","11","11","11"
"12405.412571883","14","14","14"
"12415.41097255","10","10","10"
"12425.412050208","11","11","11"
"12435.411324969","10","10","10"
"12445.411418236","10","10","10"
"12455.417842019","11","11","11"
"12465.41253231","11","11","11"
"12475.411356277","13","13","13"
"12485.411429084","14","14","14"
"12495.414772009","14","14","14"
"12505.410964365","10","10","10"
"12515.413021697","10","10","10"
"12525.411388611","10","10","10"
"12535.410867256","10","10","10"
"12545.411731349","10","10","10"
"12555.411525398","9","9","9"
"12565.411458025","10","10","10"
"12575.411011446","11","11","11"
"12585.412027474","15","15","15"
"12595.416759559","12","12","12"
"12605.41321051","11","11","11"
"12615.411675921","13","13","13"
"12625.412473837","11","11","11"
"12635.416724396","10","10","10"
"12645.412299778","10","10","10"
"12655.411460146","12","12","12"
"12665.411726708","10","10","10"
"12675.412662889","11","11","11"
"12685.415454782","11","11","11"
"12695.411563748","13","13","13"
"12705.413091546","12","12","12"
"12715.416708171","7","7","7"
"12725.414656464","11","11","11"
"12735.410855684","11","11","11"
"12745.413684032","11","11","11"
"12755.411805631","14","14","14"
"12765.411412727","11","11","11"
"12775.412176554","11","11","11"
"12785.411161239","12","12","12"
"12795.411888749","10","10","10"
"12805.411561272","10","10","10"
"12815.411217408","12","12","12"
"12825.41200372","11","11","11"
"12835.411754687","14","14","14"
"12845.411609044","11","11","11"
"12855.416045738","10","10","10"
"12865.411490944","11","11","11"
"12875.41143739","10","10","10"
"12885.41626405","11","11","11"
"12895.410908279","11","11","11"
"12905.411355699","11","11","11"
"12915.413852081","12","12","12"
"12925.411887113","14","14","14"
"12935.411543478","10","10","10"
"12945.4115625","10","10","10"
"12955.412200175","9","9","9"
"12965.411435311","11","11","11"
"12975.41250896","9","9","9"
"12985.410914598","10","10","10"
"12995.410957068","12","12","12"
"13005.413022291","10","10","10"
"13015.411809145","12","12","12"
"13025.411447649","6","6","6"
"13035.411588795","9","9","9"
"13045.412180444","10","10","10"
"13055.411791451","11","11","11"
"13065.413841696","11","11","11"
"13075.415812464","10","10","10"
"13085.411040457","9","9","9"
"13095.411397598","10","10","10"
"13105.410853034","11","11","11"
"13115.416479185","9","9","9"
"13125.411215967","9","9","9"
"13135.4142032","11","11","11"
"13145.413608465","11","11","11"
"13155.411138778","11","11","11"
"13165.412081757","10","10","10"
"13175.411070815","12","12","12"
"13185.413125497","10","10","10"
"13195.411359027","10","10","10"
"13205.41231487","9","9","9"
"13215.412345184","12","12","12"
"13225.412695365","10","10","10"
"13235.411611046","12","12","12"
"13245.411153191","7","7","7"
"13255.411400816","11","11","11"
"13265.411458829","10","10","10"
"13275.41268247","12","12","12"
"13285.411977","11","11","11"
"13295.411385853","13","13","13"
"13305.413094623","10","10","10"
"13315.412438333","10","10","10"
"13325.411588357","13","13","13"
"13335.41113007","11","11","11"
"13345.421094375","13","13","13"
"13355.411930153","11","11","11"
"13365.411707562","12","12","12"
"13375.410937384","11","11","11"
"13385.412345287","13","13","13"
"13395.413128831","13","13","13"
"13405.411863551","11","11","11"
"13415.411707576","9","9","9"
"13425.41166484","15","15","15"
"13435.412871235","11","11","11"
"13445.411216997","10","10","10"
"13455.411175096","6","6","6"
"13465.412607914","13","13","13"
"13475.411292781","11","11","11"
"13485.4142939","13","13","13"
"13495.411709542","11","11","11"
"13505.411722204","11","11","11"
"13515.41111739","10","10","10"
"13525.411960703","6","6","6"
"13535.411678603","8","8","8"
"13545.412026936","11","11","11"
"13555.41312175","14","14","14"
"13565.41140249","11","11","11"
"13575.41181931","10","10","10"
"13585.416221719","10","10","10"
"13595.410840598","8","8","8"
"13605.411432195","10","10","10"
"13615.41087375","14","14","14"
"13625.410957829","10","10","10"
"13635.41199417","11","11","11"
"13645.411105529","10","10","10"
"13655.412128124","10","10","10"
"13665.411863077","9","9","9"
"13675.411874043","10","10","10"
"13685.417331012","10","10","10"
"13695.411337938","10","10","10"
"13705.412835169","12","12","12"
"13715.415327904","10","10","10"
"13725.41447303","12","12","12"
"13735.411371927","11","11","11"
"13745.412270156","13","13","13"
"13755.411011842","11","11","11"
"13765.411424392","13","13","13"
"13775.414950122","9","9","9"
"13785.415884233","11","11","11"
"13795.411002003","9","9","9"
"13805.412268388","10","10","10"
"13815.41187251","6","6","6"
"13825.411632698","7","7","7"
"13835.412011056","14","14","14"
"13845.412608983","11","11","11"
"13855.413473192","10","10","10"
"13865.412021948","11","11","11"
"13875.411269547","9","9","9"
"13885.411922994","11","11","11"
"13895.411902691","11","11","11"
"13905.412019522","10","10","10"
"13915.412511352","11","11","11"
"13925.412737548","10","10","10"
"13935.413683178","9","9","9"
"13945.418038512","10","10","10"
"13955.413428355","15","15","15"
"13965.41123403","12","12","12"
"13975.411438774","11","11","11"
"13985.414997204","11","11","11"
"13995.41222087","11","11","11"
"14005.411996701","9","9","9"
"14015.410927875","12","12","12"
"14025.411592438","10","10","10"
"14035.417840077","11","11","11"
"14045.411269262","10","10","10"
"14055.412179805","12","12","12"
"14065.418432933","10","10","10"
"14075.411269932","14","14","14"
"14085.411850326","10","10","10"
"14095.411524697","11","11","11"
"14105.415134634","10","10","10"
"14115.41613984","12","12","12"
"14125.412029787","8","8","8"
"14135.415035861","9","9","9"
"14145.412026888","12","12","12"
"14155.411825102","10","10","10"
"14165.413269422","10","10","10"
"14175.412694031","12","12","12"
"14185.411565871","11","11","11"
"14195.412714951","13","13","13"
"14205.414093358","10","10","10"
"14215.411419181","12","12","12"
"14225.412341364","12","12","12"
"14235.414595666","11","11","11"
"14245.418117596","10","10","10"
"14255.411151511","11","11","11"
"14265.411447243","15","15","15"
"14275.411159009","13","13","13"
"14285.411457995","9","9","9"
"14295.412089119","12","12","12"
"14305.411823837","10","10","10"
"14315.413251808","13","13","13"
"14325.414696334","10","10","10"
"14335.411281874","13","13","13"
"14345.411417716","10","10","10"
"14355.411534337","11","11","11"
"14365.414306623","10","10","10"
"14375.410952553","12","12","12"
"14385.411453061","10","10","10"
"14395.414106955","12","12","12"
"14405.412000258","10","10","10"
"14415.411951147","12","12","12"
"14425.410880642","11","11","11"
"14435.411776019","9","9","9"
"14445.413878881","13","13","13"
"14455.411598466","14","14","14"
"14465.41167202","10","10","10"
"14475.41226575","13","13","13"
"14485.411202983","9","9","9"
"14495.411965442","11","11","11"
"14505.412461166","6","6","6"
"14515.411731838","9","9","9"
"14525.411315438","12","12","12"
"14535.416245179","10","10","10"
"14545.41405029","10","10","10"
"14555.411637723","8","8","8"
"14565.411277298","9","9","9"
"14575.414582041","11","11","11"
"14585.411440629","11","11","11"
"14595.411666161","10","10","10"
"14605.411902854","10","10","10"
"14615.411270198","9","9","9"
"14625.411368652","9","9","9"
"14635.412309791","14","14","14"
"14645.41146079","10","10","10"
"14655.4122431","11","11","11"
"14665.411979518","14","14","14"
"14675.411691755","9","9","9"
"14685.412905332","10","10","10"
"14695.411994773","13","13","13"
"14705.411711681","10","10","10"
"14715.411436298","11","11","11"
"14725.414082399","10","10","10"
"14735.411369312","13","13","13"
"14745.414872325","11","11","11"
"14755.411704676","12","12","12"
"14765.411151285","10","10","10"
"14775.411097679","7","7","7"
"14785.41170766","11","11","11"
"14795.411845455","9","9","9"
"14805.411227646","13","13","13"
"14815.414618673","8","8","8"
"14825.41290328","9","9","9"
"14835.414611578","11","11","11"
"14845.416576392","11","11","11"
"14855.411187383","12","12","12"
"14865.41579597","10","10","10"
"14875.412451235","11","11","11"
"14885.411412778","8","8","8"
"14895.415977967","9","9","9"
"14905.412525403","10","10","10"
"14915.41193132","11","11","11"
"14925.41123794","10","10","10"
"14935.414516192","11","11","11"
"14945.411585967","11","11","11"
"14955.411238352","12","12","12"
"14965.411029574","11","11","11"
"14975.411535619","10","10","10"
"14985.415129716","10","10","10"
"14995.411206449","9","9","9"
"15005.411222091","11","11","11"
"15015.412164964","12","12","12"
"15025.414369494","13","13","13"
"15035.413321621","11","11","11"
"15045.411696579","10","10","10"
"15055.412436901","11","11","11"
"15065.412003113","10","10","10"
"15075.410980392","11","11","11"
"15085.413852314","11","11","11"
"15095.411857564","11","11","11"
"15105.41117416","10","10","10"
"15115.411249659","9","9","9"
"15125.41672082","10","10","10"
"15135.415228059","13","13","13"
"15145.411176723","10","10","10"
"15155.411729769","15","15","15"
"15165.413360727","11","11","11"
"15175.410812727","10","10","10"
"15185.411942164","12","12","12"
"15195.411973417","10","10","10"
"15205.411867284","12","12","12"
"15215.411350429","11","11","11"
"15225.417541196","11","11","11"
"15235.414914398","12","12","12"
"15245.411623677","10","10","10"
"15255.415206611","12","12","12"
"15265.414017487","11","11","11"
"15275.411513892","11","11","11"
"15285.411969837","9","9","9"
"15295.411841214","12","12","12"
"15305.412121217","10","10","10"
"15315.411538617","14","14","14"
"15325.410999965","9","9","9"
"15335.41716732","14","14","14"
"15345.410940977","10","10","10"
"15355.412259862","12","12","12"
"15365.415205916","10","10","10"
"15375.411162648","12","12","12"
"15385.413192088","12","12","12"
"15395.411710031","8","8","8"
"15405.411386136","10","10","10"
"15415.416440351","12","12","12"
"15425.415540426","12","12","12"
"15435.417433668","15","15","15"
"15445.411884161","14","14","14"
"15455.414609053","10","10","10"
"15465.414566273","12","12","12"
"15475.41128586","11","11","11"
"15485.411308863","11","11","11"
"15495.415678946","11","11","11"
"15505.415253652","10","10","10"
"15515.411218755","11","11","11"
"15525.411013961","9","9","9"
"15535.414309967","10","10","10"
"15545.413009217","11","11","11"
"15555.411568636","11","11","11"
"15565.41149475","11","11","11"
"15575.412446627","12","12","12"
"15585.411410415","13","13","13"
"15595.411315349","10","10","10"
"15605.414564638","14","14","14"
"15615.413227602","12","12","12"
"15625.415995838","13","13","13"
"15635.411340892","12","12","12"
"15645.414447519","13","13","13"
"15655.411398083","10","10","10"
"15665.411733601","12","12","12"
"15675.411730814","10","10","10"
"15685.412562296","13","13","13"
"15695.415708579","11","11","11"
"15705.411120088","15","15","15"
"15715.41235391","9","9","9"
"15725.411741857","11","11","11"
"15735.411646958","10","10","10"
"15745.413192116","11","11","11"
"15755.411138971","10","10","10"
"15765.412686347","13","13","13"
"15775.413164323","10","10","10"
"15785.416848519","11","11","11"
"15795.41113365","10","10","10"
"15805.410865563","11","11","11"
"15815.41573461","11","11","11"
"15825.411095985","11","11","11"
"15835.411579241","11","11","11"
"15845.411427871","12","12","12"
"15855.411252492","11","11","11"
"15865.411277955","11","11","11"
"15875.410976627","11","11","11"
"15885.411688232","11","11","11"
"15895.418174209","11","11","11"
"15905.411205902","10","10","10"
"15915.41126283","10","10","10"
"15925.4131369","11","11","11"
"15935.41187201","10","10","10"
"15945.412220379","8","8","8"
"15955.41247029","11","11","11"
"15965.412502693","10","10","10"
"15975.419678438","10","10","10"
"15985.412209417","11","11","11"
"15995.411356281","8","8","8"
"16005.420297151","10","10","10"
"16015.41461106","12","12","12"
"16025.415185802","10","10","10"
"16035.412119891","11","11","11"
"16045.411009861","10","10","10"
"16055.410987097","9","9","9"
"16065.411703219","10","10","10"
"16075.41154775","14","14","14"
"16085.412764567","10","10","10"
"16095.411779951","10","10","10"
"16105.411579933","10","10","10"
"16115.412043851","11","11","11"
"16125.411290401","10","10","10"
"16135.41160907","11","11","11"
"16145.411507802","10","10","10"
"16155.413932798","12","12","12"
"16165.412116674","7","7","7"
"16175.41325895","7","7","7"
"16185.416793222","10","10","10"
"16195.412579377","12","12","12"
"16205.411569287","10","10","10"
"16215.411435628","10","10","10"
"16225.411516739","11","11","11"
"16235.411506437","8","8","8"
"16245.411878512","9","9","9"
"16255.411452305","13","13","13"
"16265.410952195","14","14","14"
"16275.414367298","11","11","11"
"16285.41338949","15","15","15"
"16295.411086767","6","6","6"
"16305.411863361","9","9","9"
"16315.411849125","14","14","14"
"16325.411346509","11","11","11"
"16335.414278841","9","9","9"
"16345.411165037","10","10","10"
"16355.413161757","9","9","9"
"16365.411182993","9","9","9"
"16375.411991954","11","11","11"
"16385.414040552","9","9","9"
"16395.414828545","9","9","9"
"16405.412473367","10","10","10"
"16415.411183225","15","15","15"
"16425.410967297","10","10","10"
"16435.418873709","13","13","13"
"16445.411260544","8","8","8"
"16455.411069457","8","8","8"
"16465.414052931","11","11","11"
"16475.411720659","8","8","8"
"16485.411528304","10","10","10"
"16495.412704558","13","13","13"
"16505.411389632","10","10","10"
"16515.411890958","10","10","10"
"16525.412789396","10","10","10"
"16535.412603164","12","12","12"
"16545.4122294","9","9","9"
"16555.411665097","9","9","9"
"16565.411768055","10","10","10"
"16575.412086041","10","10","10"
"16585.411528418","9","9","9"
"16595.412360592","15","15","15"
"16605.412549215","8","8","8"
"16615.412316564","11","11","11"
"16625.411450121","11","11","11"
"16635.411722008","13","13","13"
"16645.412085111","13","13","13"
"16655.411345897","11","11","11"
"16665.412177693","11","11","11"
"16675.412422763","10","10","10"
"16685.411541434","11","11","11"
"16695.411735329","14","14","14"
"16705.410925661","13","13","13"
"16715.413026897","8","8","8"
"16725.411703539","11","11","11"
"16735.417109808","10","10","10"
"16745.411806843","14","14","14"
"16755.411424655","11","11","11"
"16765.411584571","11","11","11"
"16775.413770942","15","15","15"
"16785.413139985","10","10","10"
"16795.411604733","9","9","9"
"16805.411205363","11","11","11"
"16815.414737276","10","10","10"
"16825.41155854","11","11","11"
"16835.411025773","10","10","10"
"16845.411913702","12","12","12"
"16855.411421998","10","10","10"
"16865.410919466","9","9","9"
"16875.412388529","10","10","10"
"16885.411220052","10","10","10"
"16895.410953839","11","11","11"
"16905.411163155","10","10","10"
"16915.412411194","9","9","9"
"16925.411439862","8","8","8"
"16935.412305253","10","10","10"
"16945.412024813","12","12","12"
"16955.412293367","11","11","11"
"16965.416906348","11","11","11"
"16975.41639745","9","9","9"
"16985.411087936","13","13","13"
"16995.418844262","10","10","10"
"17005.411002284","11","11","11"
"17015.411433585","9","9","9"
"17025.416205959","13","13","13"
"17035.413623555","10","10","10"
"17045.412886008","10","10","10"
"17055.415457861","10","10","10"
"17065.411144614","11","11","11"
"17075.422205086","9","9","9"
"17085.415441127","10","10","10"
"17095.415527053","10","10","10"
"17105.410959575","12","12","12"
"17115.417015602","11","11","11"
"17125.412598467","10","10","10"
"17135.415765473","13","13","13"
"17145.411648351","10","10","10"
"17155.415783059","11","11","11"
"17165.415492692","10","10","10"
"17175.411016628","11","11","11"
"17185.412176223","9","9","9"
"17195.411863744","10","10","10"
"17205.411277024","10","10","10"
"17215.411776228","10","10","10"
"17225.414702742","11","11","11"
"17235.412717337","12","12","12"
"17245.411469857","10","10","10"
"17255.411664709","11","11","11"
"17265.411755402","13","13","13"
"17275.411315296","11","11","11"
"17285.411651735","10","10","10"
"17295.411496768","10","10","10"
"17305.414526704","10","10","10"
"17315.414795574","9","9","9"
"17325.412884664","11","11","11"
"17335.411854237","8","8","8"
"17345.410899099","11","11","11"
"17355.410881324","14","14","14"
"17365.411553281","11","11","11"
"17375.415279109","11","11","11"
"17385.413181137","10","10","10"
"17395.412397113","12","12","12"
"17405.41192163","10","10","10"
"17415.41327304","14","14","14"
"17425.415445775","10","10","10"
"17435.411658329","10","10","10"
"17445.411331354","8","8","8"
"17455.411478077","9","9","9"
"17465.411039266","10","10","10"
"17475.414749461","10","10","10"
"17485.412078142","14","14","14"
"17495.41156014","9","9","9"
"17505.415433692","10","10","10"
"17515.413709523","11","11","11"
"17525.411817504","11","11","11"
"17535.411616286","11","11","11"
"17545.4125467","10","10","10"
"17555.41143363","12","12","12"
"17565.411328914","9","9","9"
"17575.41246371","13","13","13"
"17585.414201662","9","9","9"
"17595.419076207","10","10","10"
"17605.411766236","10","10","10"
"17615.411264976","9","9","9"
"17625.411184759","11","11","11"
"17635.411902861","10","10","10"
"17645.411371383","10","10","10"
"17655.410928919","10","10","10"
"17665.412037337","11","11","11"
"17675.412934846","9","9","9"
"17685.410911133","12","12","12"
"17695.411186295","11","11","11"
"17705.418137232","12","12","12"
"17715.413100252","10","10","10"
"17725.412194179","11","11","11"
"17735.415641859","10","10","10"
"17745.41266363","13","13","13"
"17755.411442736","9","9","9"
"17765.412080062","9","9","9"
"17775.413860412","10","10","10"
"17785.4118634","13","13","13"
"17795.411809385","9","9","9"
"17805.411413798","10","10","10"
"17815.413402252","14","14","14"
"17825.410840576","11","11","11"
"17835.412168478","10","10","10"
"17845.411432367","10","10","10"
"17855.411676856","11","11","11"
"17865.410988497","9","9","9"
"17875.411851972","10","10","10"
"17885.414596553","13","13","13"
"17895.411929844","6","6","6"
"17905.411838415","9","9","9"
"17915.411644422","8","8","8"
"17925.41201219","10","10","10"
"17935.411466531","14","14","14"
"17945.411935088","10","10","10"
"17955.411665603","13","13","13"
"17965.415940901","10","10","10"
"17975.412212719","11","11","11"
"17985.410907908","11","11","11"
"17995.412164785","10","10","10"
"18005.411715474","15","15","15"
"18015.412579927","11","11","11"
"18025.414366235","10","10","10"
"18035.411745261","10","10","10"
"18045.411449953","13","13","13"
"18055.412268778","10","10","10"
"18065.415591221","10","10","10"
"18075.414728955","10","10","10"
"18085.411641915","10","10","10"
"18095.411459766","10","10","10"
"18105.412263263","10","10","10"
"18115.411198578","10","10","10"
"18125.413680857","13","13","13"
"18135.413168418","10","10","10"
"18145.411144881","10","10","10"
"18155.411293803","10","10","10"
"18165.412387127","11","11","11"
"18175.412662875","9","9","9"
"18185.411628242","10","10","10"
"18195.412041299","8","8","8"
"18205.411281048","9","9","9"
"18215.413684928","13","13","13"
"18225.411252903","10","10","10"
"18235.41170825","13","13","13"
"18245.412167197","11","11","11"
"18255.417327407","11","11","11"
"18265.4115229","12","12","12"
"18275.411458114","14","14","14"
"18285.420706364","10","10","10"
"18295.414613042","12","12","12"
"18305.415027125","10","10","10"
"18315.414121931","11","11","11"
"18325.413005741","10","10","10"
"18335.413969824","10","10","10"
"18345.41137197","9","9","9"
"18355.411023364","11","11","11"
"18365.411676087","11","11","11"
"18375.413764493","14","14","14"
"18385.412553814","10","10","10"
"18395.411870042","11","11","11"
"18405.418608965","10","10","10"
"18415.415793535","12","12","12"
"18425.413494124","11","11","11"
"18435.411182109","10","10","10"
"18445.411589932","11","11","11"
"18455.411733169","9","9","9"
"18465.411442565","12","12","12"
"18475.414434277","6","6","6"
"18485.410825606","8","8","8"
"18495.410996249","11","11","11"
"18505.411746515","10","10","10"
"18515.411600669","10","10","10"
"18525.411507637","11","11","11"
"18535.411049068","11","11","11"
"18545.411533541","10","10","10"
"18555.418513696","12","12","12"
"18565.413694354","9","9","9"
"18575.410858969","11","11","11"
"18585.411103786","10","10","10"
"18595.412821622","10","10","10"
